"FRAUD_MSG_LIST","رسائل الاحتيال"
"Credit Card Information","معلومات بطاقة الائتمان"
"Credit Card Type","نوع بطاقة الائتمان"
"Credit Card Number","رقم بطاقه الائتمان"
"Card Holder Name","إسم صاحب البطاقة"
"Expiration Date","تاريخ انتهاء الصلاحية"
"Card Verification Number","رقم التحقق من البطاقة"
"What is this?","ما هذا؟"
"Payment Method","طريقة الدفع او السداد"
"Visa Checkout","فيزا تشيك آوت"
"mada debit card / Credit Cards","بطاقة مدى / بطاقة الائتمان"
"Check / Money order","تحقق / حوالة بريدية"
"Installment","تقسيط"
"Add New Card","إضافة بطاقة جديدة"
"Buy now pay later","اشتر الآن وادفع لاحقًا"
"Enter your mobile number","أدخل رقم هاتفك المحمول"
"Request OTP","طلب OTP"
"ending","النهاية"
"expires","تنتهي"
"Please enter CVV","الرجاء إدخال CVV"
"Please enter mobile number.","الرجاء إدخال رقم الهاتف المحمول."
"Mobile number is not valid.","رقم الجوال غير صحيح."
"OTP has been sent to you on your mobile number : +20","تم إرسال OTP إليك على رقم هاتفك المحمول: +20"
"This is a required field.","هذا مجال مطلوب."
"Invalid Valu OTP","Valu OTP غير صالح"
"OTP Verified Successfully, Please select your installment plan!","تم التحقق من OTP بنجاح ، يرجى تحديد خطة التقسيط الخاصة بك!"
"MONTHS","الشهور"
"EGP/Month","جنيه / شهر"
"interest","فائدة"
"Please select your installment plan.","الرجاء تحديد خطة التقسيط الخاصة بك."
"Kindly check terms and conditions","يرجى التحقق من الشروط والأحكام"
"Continue","يكمل"
"Remember Me","تذكرنى"
"Place Order","مكان الامر"
"Please enter a valid credit card verification number.","الرجاء إدخال رقم تحقق صالح لبطاقة الائتمان."
"The credit card number doesn\'t match the credit card type.","رقم بطاقة الائتمان لا يتطابق مع نوع بطاقة الائتمان."
"Invalid Credit Card Number","رقم بطاقة الائتمان غير صحيح"
"This credit card type is not allowed for this payment method.","نوع بطاقة الائتمان هذا غير مسموح به لطريقة الدفع هذه."
"Please enter a valid credit card expiration date.","الرجاء إدخال تاريخ انتهاء صالح لبطاقة الائتمان."
"Please enter CVV.","الرجاء إدخال CVV."
"Please enter a valid number in this field.","الرجاء إدخال رقم صحيح في هذا المجال."
"No plans found","لم يتم العثور على خطط"
"There is no installment plan available","لا توجد خطة تقسيط متاحة"
"Interest","فائدة"
"Profit Rate","معدل الربح"
"Payment cancelled by user","تم إلغاء الدفع من قبل المستخدم"
"You will be redirected to the Amazon Payment Services website when you place an order.","ستتم إعادة توجيهك إلى موقع Amazon Payment Services على الويب عند تقديم طلب."
"Save My Card","حفظ بطاقتي"
"CVV","CVV"
"Expiry Date","تاريخ الانتهاء"
"Card Number","رقم البطاقة"
"Please select a card.","الرجاء تحديد بطاقة."
"CVV is mandatory","CVV إلزامي"
"Country not allowed for shipping","البلد غير مسموح به للشحن"
"Proceed with full amount","المضي قدما بالمبلغ الكامل"
"Enter valU downpayment amount (Optional)","أدخل مبلغ الدفعة الأولى (اختياري)"
"Pay in 4. No interest, no fees.", "قسّمها على 4. بدون أي فوائد، أو رسوم."